electrode,method,etat,alpha
e1,DFA,A,0.864866859534435
e1,DFA,A,1.01240501063466
e1,DFA,A,0.93833509247262
e1,DFA,A,0.86993305837611
e1,DFA,A,0.986268354486801
e1,DFA,A,0.869450358599553
e1,DFA,A,0.913406080903213
e1,DFA,B,0.806185597601213
e1,DFA,B,0.81128525479521
e1,DFA,B,0.833445515330168
e1,DFA,B,0.698762350249758
e1,DFA,B,0.794979530016695
e1,DFA,B,0.753668490169505
e1,DFA,B,0.778748029250453
e2,DFA,A,0.943197528809402
e2,DFA,A,0.843499572127403
e2,DFA,A,0.891966259253567
e2,DFA,A,0.93125243400088
e2,DFA,A,1.05431779313247
e2,DFA,A,0.846525890152297
e2,DFA,A,0.87565783228858
e2,DFA,B,0.891818906488258
e2,DFA,B,0.722882080995883
e2,DFA,B,0.747486618356058
e2,DFA,B,0.844748948223589
e2,DFA,B,0.793784202293217
e2,DFA,B,0.763657076174665
e2,DFA,B,0.69869069288843
e1,DMA,A,0.852436666571729
e1,DMA,A,0.896519302054843
e1,DMA,A,0.800906288099842
e1,DMA,A,0.820385220291607
e1,DMA,A,0.826655971860598
e1,DMA,A,0.72235056513844
e1,DMA,A,0.821304146201326
e1,DMA,B,0.854545370925316
e1,DMA,B,0.77891948867219
e1,DMA,B,0.714061797282423
e1,DMA,B,0.712402295676434
e1,DMA,B,0.693597436556839
e1,DMA,B,0.566027787521993
e1,DMA,B,0.70252093489919
e2,DMA,A,0.815730051940035
e2,DMA,A,0.729534348054252
e2,DMA,A,0.667160609332552
e2,DMA,A,0.86998518888058
e2,DMA,A,0.856265744256439
e2,DMA,A,0.761552847160677
e2,DMA,A,0.816293435128994
e2,DMA,B,0.803437579332369
e2,DMA,B,0.678540772072607
e2,DMA,B,0.565602272294664
e2,DMA,B,0.750186882393505
e2,DMA,B,0.73347363669966
e2,DMA,B,0.569080496410974
e2,DMA,B,0.727510234278262
